"Radom 
Forest",RMSE,R²,AIC,BIC
Training,0.43175875226525284,0.7369800986719683,-1410.2089768512596,-1348.4446577550818
Test,0.5709199989222546,0.6414324246550827,-132.0627444825417,-93.7288659076255
,,,,
Ada Boost,RMSE,R²,AIC,BIC
Training,0.43114222755356796,0.7377307145749916,-1412.6524957741262,-1350.8881766779484
Test,0.5786196263835927,0.6316956714785967,-128.2850105659698,-89.95113199105361
,,,,
"Gradient
Boosting",RMSE,R²,AIC,BIC
Training,0.34919044239560443,0.8279593768397188,-1773.1556814209837,-1711.3913623248059
Test,0.5698906382871404,0.6427242435122075,-132.57164537882022,-94.23776680390404
