,Pearson,Spearman,Kendall,Pearson Category,Spearman Category,Kendall Category
Surface long-wave (thermal) radiation downwards,-0.661957300758431,-0.7046205014145784,-0.48587505521307445,Moderate,Strong,Moderate
2 metre temperature,-0.7034957365632701,-0.7449490592797032,-0.5261277870599758,Strong,Strong,Moderate
Near IR albedo for direct radiation (climatological),-0.7055668729510973,-0.7368572523107169,-0.5431193154486393,Strong,Strong,Moderate
Surface long-wave (thermal) radiation downward clear-sky,-0.7083401291824659,-0.7477539642639823,-0.5294463328916288,Strong,Strong,Moderate
2 metre dewpoint temperature,-0.7096434333155778,-0.7488688016398037,-0.5312501500359174,Strong,Strong,Moderate
Skin temperature,-0.7166868128346577,-0.7546073382192559,-0.5356609245069233,Strong,Strong,Moderate
Near IR albedo for diffuse radiation (climatological),-0.7211940028663866,-0.7368572523107169,-0.5431193154486393,Strong,Strong,Moderate
Normalized energy flux into ocean,-0.7307374898379181,-0.7432821308524215,-0.5406694705306216,Strong,Strong,Moderate
"Surface direct short-wave radiation, clear sky",-0.7373246620622369,-0.7726642995088634,-0.5580803134182174,Strong,Strong,Moderate
Surface short-wave (solar) radiation downward clear-sky,-0.7449798271789048,-0.7895023545489466,-0.5748650880528509,Strong,Strong,Moderate
"Surface net short-wave (solar) radiation, clear sky",-0.7489399754929301,-0.7899795781621518,-0.5750878608054387,Strong,Strong,Moderate
TOA incident short-wave (solar) radiation,-0.7561145474656087,-0.7993929425577248,-0.5848552553428644,Strong,Strong,Moderate
"Top net short-wave (solar) radiation, clear sky",-0.7582812876715556,-0.8034628167073251,-0.5890495669374508,Strong,Strong,Moderate
Total sky direct short-wave (solar) radiation at surface,-0.7717069949835447,-0.8060879468312891,-0.5976839315549922,Strong,Strong,Moderate
Surface short-wave (solar) radiation downwards,-0.7741388335625801,-0.8121230492116345,-0.6045322732423039,Strong,Strong,Moderate
Downward UV radiation at the surface,-0.7745199777595432,-0.8143976719127403,-0.6065794780203952,Strong,Strong,Moderate
Surface net short-wave (solar) radiation,-0.7749425171883232,-0.81293979870402,-0.6054387278907645,Strong,Strong,Moderate
Top net short-wave (solar) radiation,-0.7780613486509713,-0.8198883840520036,-0.6130270333077218,Strong,Strong,Moderate
