LSTM,RMSE,R²,AIC,BIC
Training,0.5417967211919428,0.5858296018878314,-1021.9981257850889,-960.233806688911
Test,0.5203733835108759,0.7005742170805345,-159.51126508153683,-121.08551333272044
,,,,
Bi-LSTM,RMSE,R²,AIC,BIC
Training,0.5291619729913547,0.604921346779723,-1062.347808731174,-1000.5834896349961
Test,0.5323414921154992,0.6866427989983594,-153.05350644012213,-114.62775469130574
,,,,
Gru,RMSE,R²,AIC,BIC
Training,0.5311844098489457,0.6018956246535611,-1055.8247116070202,-994.0603925108423
Test,0.5283667198498966,0.6913047448636384,-155.1819722980993,-116.75622054928292
,,,,
Transformer,RMSE,R²,AIC,BIC
Training,0.5528912612997251,0.5686937395154303,-987.3356219630589,-925.5713028668811
Test,0.5488313024950735,0.6669290231186028,-144.3898231789198,-105.96407143010342
,,,,
Prophet,RMSE,R²,AIC,BIC
Training,0.4891247046965717,0.6620484120840104,-1214.048948997294,-1152.103442299147
Test,0.5307879789554222,0.6873527928999581,-167.81814288663045,-128.4224499085288
